month,date,Title,Director,Cast,Production House,year
january,14,Bangarraju,Kalyan Krishna,"Nagarjuna,Naga Chaitanya,Ramya Krishna,Kriti Shetty",Annapurna Studios,2022
january,14,Rowdy Boys,Harsha Konuganti,"Ashish Reddy,Anupama Parameswaran","Sri Venkateswara Creations,Aditya Music",2022
january,15,Hero,Sriram Adittya,"Ashok Galla,Nidhhi Agerwal,Jagapathi Babu",Amara Raja Entertainment and Media,2022
january,28,Good Luck Sakhi,Nagesh Kukunoor,"Keerthy Suresh,Aadhi Pinisetty,Jagapathi Babu,Rahul Ramakrishna","Worth A Shot Motion Arts ,Sri Venkateswara Creations",2022
